Author;Probability;Topic
Тургенев;61.3;Topic0
Тургенев;16.3;Topic1
Тургенев;2.46;Topic2
Тургенев;0.4;Topic3
Тургенев;19.53;Topic4
Крылов;18.7;Topic0
Крылов;24.32;Topic1
Крылов;8.36;Topic2
Крылов;33.88;Topic3
Крылов;14.73;Topic4
Булгаков;60.41;Topic0
Булгаков;8.72;Topic1
Булгаков;6.09;Topic2
Булгаков;23.02;Topic3
Булгаков;1.75;Topic4
Шаховской;17.56;Topic0
Шаховской;44.08;Topic1
Шаховской;22.92;Topic2
Шаховской;10.67;Topic3
Шаховской;4.78;Topic4
Островский;23.34;Topic0
Островский;23.82;Topic1
Островский;1.41;Topic2
Островский;11.14;Topic3
Островский;40.3;Topic4
Фонвизин;3.11;Topic0
Фонвизин;87.24;Topic1
Фонвизин;2.67;Topic2
Фонвизин;0.28;Topic3
Фонвизин;6.7;Topic4
Гоголь;46.15;Topic0
Гоголь;19.69;Topic1
Гоголь;11.47;Topic2
Гоголь;5.34;Topic3
Гоголь;17.36;Topic4
Сухово-Кобылин;33.95;Topic0
Сухово-Кобылин;20.62;Topic1
Сухово-Кобылин;2.82;Topic2
Сухово-Кобылин;14.1;Topic3
Сухово-Кобылин;28.51;Topic4
ТолстойЛев;30.41;Topic0
ТолстойЛев;7.9;Topic1
ТолстойЛев;5.11;Topic2
ТолстойЛев;5.15;Topic3
ТолстойЛев;51.43;Topic4
Сумароков;0.03;Topic0
Сумароков;0.03;Topic1
Сумароков;0.41;Topic2
Сумароков;99.5;Topic3
Сумароков;0.03;Topic4
Чехов;52.67;Topic0
Чехов;14.43;Topic1
Чехов;4.93;Topic2
Чехов;4.36;Topic3
Чехов;23.61;Topic4
ТолстойАлексей;1.46;Topic0
ТолстойАлексей;11.34;Topic1
ТолстойАлексей;8.33;Topic2
ТолстойАлексей;75.4;Topic3
ТолстойАлексей;3.47;Topic4
Пушкин;27.01;Topic0
Пушкин;4.73;Topic1
Пушкин;9.11;Topic2
Пушкин;42.62;Topic3
Пушкин;16.53;Topic4
