numtopics;average_topic_semdensity_for_10_topwords;model
4;0.37527193813927895;Only Nouns 300-100
5;0.3459080313530632;Only Nouns 300-100
6;0.34098367576994715;Only Nouns 300-100
7;0.34887868883409245;Only Nouns 300-100
8;0.3591611991741851;Only Nouns 300-100
9;0.3415253681261381;Only Nouns 300-100
10;0.34027990577581085;Only Nouns 300-100
11;0.33671730582014975;Only Nouns 300-100
12;0.3218178173605907;Only Nouns 300-100
13;0.31690899747151907;Only Nouns 300-100
14;0.310771477267525;Only Nouns 300-100
15;0.3174119557284745;Only Nouns 300-100
4;0.36685956447644363;Only Nouns 400-100
5;0.3745847740810506;Only Nouns 400-100
6;0.3603375485318763;Only Nouns 400-100
7;0.37553892623568114;Only Nouns 400-100
8;0.36858594718647325;Only Nouns 400-100
9;0.37044517359267715;Only Nouns 400-100
10;0.3709490154392771;Only Nouns 400-100
11;0.34337810680211134;Only Nouns 400-100
12;0.35881641038546547;Only Nouns 400-100
13;0.3502249397724614;Only Nouns 400-100
14;0.3442775535954696;Only Nouns 400-100
15;0.3319508551776738;Only Nouns 400-100
4;0.3955755014836887;Only Nouns 500-100
5;0.398835378286151;Only Nouns 500-100
6;0.38185877456634043;Only Nouns 500-100
7;0.38745886236651705;Only Nouns 500-100
8;0.37488701863838486;Only Nouns 500-100
9;0.3425300070290149;Only Nouns 500-100
10;0.33606846945341023;Only Nouns 500-100
11;0.3481993853777418;Only Nouns 500-100
12;0.3596221781672873;Only Nouns 500-100
13;0.3388783452236957;Only Nouns 500-100
14;0.32939740515843546;Only Nouns 500-100
15;0.3395924585960195;Only Nouns 500-100
4;0.3825984991234639;Only Nouns 600-150
5;0.357944321865972;Only Nouns 600-150
6;0.3579797811922007;Only Nouns 600-150
7;0.33877295981096767;Only Nouns 600-150
8;0.3574579265473592;Only Nouns 600-150
9;0.3432743140703107;Only Nouns 600-150
10;0.34176818015307847;Only Nouns 600-150
11;0.331088145647872;Only Nouns 600-150
12;0.3368658450922381;Only Nouns 600-150
13;0.3316211950027368;Only Nouns 600-150
14;0.3243865683289587;Only Nouns 600-150
15;0.3185720717546346;Only Nouns 600-150
4;0.3622438965999275;POS restriction 400-100
5;0.3670158964528013;POS restriction 400-100
6;0.34180073550069506;POS restriction 400-100
7;0.35457496879714895;POS restriction 400-100
8;0.3534742045304193;POS restriction 400-100
9;0.35912443397847427;POS restriction 400-100
10;0.3560955977598018;POS restriction 400-100
11;0.3542822687442046;POS restriction 400-100
12;0.34374228589786976;POS restriction 400-100
13;0.32860888828230284;POS restriction 400-100
14;0.33546499714379285;POS restriction 400-100
15;0.34290897220427635;POS restriction 400-100
4;0.3681665838679199;POS restriction 500-100
5;0.3568470445263836;POS restriction 500-100
6;0.35650955563790593;POS restriction 500-100
7;0.3572760799754781;POS restriction 500-100
8;0.3581531255594102;POS restriction 500-100
9;0.35563384584738356;POS restriction 500-100
10;0.3559018396713115;POS restriction 500-100
11;0.36263354502186645;POS restriction 500-100
12;0.35920651078237426;POS restriction 500-100
13;0.3413775091485505;POS restriction 500-100
14;0.3566181215868559;POS restriction 500-100
15;0.3354808066150321;POS restriction 500-100
4;0.34536239936375046;POS restriction 600-150
5;0.3457932935862421;POS restriction 600-150
6;0.3489879243808442;POS restriction 600-150
7;0.34713099998449126;POS restriction 600-150
8;0.357076148189764;POS restriction 600-150
9;0.34301855124629976;POS restriction 600-150
10;0.34465381891698443;POS restriction 600-150
11;0.3296749350741207;POS restriction 600-150
12;0.34476553063727966;POS restriction 600-150
13;0.3492116331489115;POS restriction 600-150
14;0.3409168526962749;POS restriction 600-150
15;0.32663684727385006;POS restriction 600-150
4;0.34463761185965036;POS restriction 700-200
5;0.34880593848222996;POS restriction 700-200
6;0.34501985799642854;POS restriction 700-200
7;0.3626510700959306;POS restriction 700-200
8;0.36099247729397926;POS restriction 700-200
9;0.33773673362943424;POS restriction 700-200
10;0.34300954915294;POS restriction 700-200
11;0.34949918876688185;POS restriction 700-200
12;0.3570603434940765;POS restriction 700-200
13;0.35681817556193135;POS restriction 700-200
14;0.3475250336664914;POS restriction 700-200
15;0.35065910486934854;POS restriction 700-200
4;0.3613751433284496;POS restriction 900-300
5;0.35989671726936334;POS restriction 900-300
6;0.3334539707114364;POS restriction 900-300
7;0.34816979522897457;POS restriction 900-300
8;0.3567131604511989;POS restriction 900-300
9;0.34576966883130367;POS restriction 900-300
10;0.34377278454280935;POS restriction 900-300
11;0.34049553232442464;POS restriction 900-300
12;0.34991462633787757;POS restriction 900-300
13;0.33852941762834166;POS restriction 900-300
14;0.34635539815290783;POS restriction 900-300
15;0.33137956964539605;POS restriction 900-300
