Year;Probability;Topic
1859;9.6;Topic0
1859;27.56;Topic1
1859;1.7;Topic2
1859;4.85;Topic3
1859;43.68;Topic4
1859;12.61;Topic5
1825;20.47;Topic0
1825;60.59;Topic1
1825;8.96;Topic2
1825;4.93;Topic3
1825;0.02;Topic4
1825;5.03;Topic5
1752;0.02;Topic0
1752;0.02;Topic1
1752;0.02;Topic2
1752;99.37;Topic3
1752;0.02;Topic4
1752;0.55;Topic5
1887;16.39;Topic0
1887;0.03;Topic1
1887;11.12;Topic2
1887;2.76;Topic3
1887;69.68;Topic4
1887;0.03;Topic5
1917;0.06;Topic0
1917;41.0;Topic1
1917;0.6;Topic2
1917;52.34;Topic3
1917;0.06;Topic4
1917;5.93;Topic5
1907;0.11;Topic0
1907;34.39;Topic1
1907;1.11;Topic2
1907;20.98;Topic3
1907;0.11;Topic4
1907;43.3;Topic5
1848;14.17;Topic0
1848;29.93;Topic1
1848;0.06;Topic2
1848;0.06;Topic3
1848;0.06;Topic4
1848;55.73;Topic5
1904;0.03;Topic0
1904;16.0;Topic1
1904;11.67;Topic2
1904;0.03;Topic3
1904;32.94;Topic4
1904;39.34;Topic5
1751;0.02;Topic0
1751;0.02;Topic1
1751;0.02;Topic2
1751;99.89;Topic3
1751;0.02;Topic4
1751;0.02;Topic5
1897;0.03;Topic0
1897;39.69;Topic1
1897;17.66;Topic2
1897;0.03;Topic3
1897;11.56;Topic4
1897;31.03;Topic5
1929;0.04;Topic0
1929;0.04;Topic1
1929;1.07;Topic2
1929;0.04;Topic3
1929;7.09;Topic4
1929;91.71;Topic5
1850;46.37;Topic0
1850;13.23;Topic1
1850;0.03;Topic2
1850;0.03;Topic3
1850;37.79;Topic4
1850;2.56;Topic5
1836;7.07;Topic0
1836;3.02;Topic1
1836;4.49;Topic2
1836;21.62;Topic3
1836;17.89;Topic4
1836;45.91;Topic5
1842;18.07;Topic0
1842;20.08;Topic1
1842;11.14;Topic2
1842;5.83;Topic3
1842;13.41;Topic4
1842;31.46;Topic5
1886;0.22;Topic0
1886;0.22;Topic1
1886;0.21;Topic2
1886;0.22;Topic3
1886;0.21;Topic4
1886;98.92;Topic5
1875;8.05;Topic0
1875;8.94;Topic1
1875;0.02;Topic2
1875;0.02;Topic3
1875;49.12;Topic4
1875;33.85;Topic5
1772;96.27;Topic0
1772;0.02;Topic1
1772;0.02;Topic2
1772;1.32;Topic3
1772;2.34;Topic4
1772;0.02;Topic5
1860;0.23;Topic0
1860;90.2;Topic1
1860;0.23;Topic2
1860;8.88;Topic3
1860;0.23;Topic4
1860;0.23;Topic5
1843;0.04;Topic0
1843;32.65;Topic1
1843;0.04;Topic2
1843;0.04;Topic3
1843;1.39;Topic4
1843;65.83;Topic5
1857;29.83;Topic0
1857;0.03;Topic1
1857;3.86;Topic2
1857;0.03;Topic3
1857;24.5;Topic4
1857;41.74;Topic5
1819;8.03;Topic0
1819;38.52;Topic1
1819;19.6;Topic2
1819;4.56;Topic3
1819;20.54;Topic4
1819;8.75;Topic5
1890;14.04;Topic0
1890;9.83;Topic1
1890;0.9;Topic2
1890;0.13;Topic3
1890;20.87;Topic4
1890;54.22;Topic5
1936;22.03;Topic0
1936;0.05;Topic1
1936;4.19;Topic2
1936;27.09;Topic3
1936;0.05;Topic4
1936;46.59;Topic5
1854;8.77;Topic0
1854;35.76;Topic1
1854;2.02;Topic2
1854;30.52;Topic3
1854;12.02;Topic4
1854;10.92;Topic5
1884;4.08;Topic0
1884;22.49;Topic1
1884;1.68;Topic2
1884;0.06;Topic3
1884;65.11;Topic4
1884;6.58;Topic5
1839;0.11;Topic0
1839;70.49;Topic1
1839;0.11;Topic2
1839;11.28;Topic3
1839;0.11;Topic4
1839;17.88;Topic5
1902;0.03;Topic0
1902;3.99;Topic1
1902;10.46;Topic2
1902;5.67;Topic3
1902;76.17;Topic4
1902;3.69;Topic5
1943;2.55;Topic0
1943;14.8;Topic1
1943;5.57;Topic2
1943;25.52;Topic3
1943;0.9;Topic4
1943;50.66;Topic5
1832;0.22;Topic0
1832;54.75;Topic1
1832;0.22;Topic2
1832;44.37;Topic3
1832;0.22;Topic4
1832;0.22;Topic5
1852;0.21;Topic0
1852;12.41;Topic1
1852;0.21;Topic2
1852;0.21;Topic3
1852;10.53;Topic4
1852;76.43;Topic5
1849;28.55;Topic0
1849;7.89;Topic1
1849;6.62;Topic2
1849;0.04;Topic3
1849;10.68;Topic4
1849;46.23;Topic5
1747;0.02;Topic0
1747;0.03;Topic1
1747;0.02;Topic2
1747;99.88;Topic3
1747;0.02;Topic4
1747;0.02;Topic5
1861;23.68;Topic0
1861;0.02;Topic1
1861;0.02;Topic2
1861;16.33;Topic3
1861;29.66;Topic4
1861;30.29;Topic5
1856;30.14;Topic0
1856;9.44;Topic1
1856;3.29;Topic2
1856;0.92;Topic3
1856;41.6;Topic4
1856;14.62;Topic5
1913;0.22;Topic0
1913;0.22;Topic1
1913;0.22;Topic2
1913;45.24;Topic3
1913;30.78;Topic4
1913;23.32;Topic5
1901;3.47;Topic0
1901;37.45;Topic1
1901;11.69;Topic2
1901;0.3;Topic3
1901;18.91;Topic4
1901;28.18;Topic5
1888;11.77;Topic0
1888;22.58;Topic1
1888;0.08;Topic2
1888;0.08;Topic3
1888;24.54;Topic4
1888;40.95;Topic5
1807;21.01;Topic0
1807;14.81;Topic1
1807;0.03;Topic2
1807;49.98;Topic3
1807;7.9;Topic4
1807;6.26;Topic5
1871;10.12;Topic0
1871;21.29;Topic1
1871;0.02;Topic2
1871;0.02;Topic3
1871;48.21;Topic4
1871;20.35;Topic5
1868;13.27;Topic0
1868;0.01;Topic1
1868;8.36;Topic2
1868;76.06;Topic3
1868;1.48;Topic4
1868;0.82;Topic5
1800;4.2;Topic0
1800;37.08;Topic1
1800;1.33;Topic2
1800;35.78;Topic3
1800;10.4;Topic4
1800;11.21;Topic5
1873;0.31;Topic0
1873;58.36;Topic1
1873;0.74;Topic2
1873;31.94;Topic3
1873;8.62;Topic4
1873;0.02;Topic5
1771;0.03;Topic0
1771;8.76;Topic1
1771;0.03;Topic2
1771;91.12;Topic3
1771;0.03;Topic4
1771;0.03;Topic5
1831;3.2;Topic0
1831;35.23;Topic1
1831;4.29;Topic2
1831;47.53;Topic3
